,Symbol,Name,Exchange,MarketCap
627,CTXS,"Citrix Systems, Inc.",NASDAQ,14600000000.0
644,CME,CME Group Inc.,NASDAQ,56770000000.0
657,CTSH,Cognizant Technology Solutions Corporation,NASDAQ,24190000000.0
671,CMCSA,Comcast Corporation,NASDAQ,151930000000.0
705,CPRT,"Copart, Inc.",NASDAQ,14060000000.0
715,CSGP,"CoStar Group, Inc.",NASDAQ,20190000000.0
716,COST,Costco Wholesale Corporation,NASDAQ,128240000000.00002
719,COUP,Coupa Software Incorporated,NASDAQ,9020000000.0
751,CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,10070000000.0
758,CSX,CSX Corporation,NASDAQ,38590000000.0
788,DDOG,"Datadog, Inc.",NASDAQ,9920000000.0
807,DXCM,"DexCom, Inc.",NASDAQ,19190000000.0
824,DISCA,"Discovery, Inc.",NASDAQ,9770000000.0
825,DISCB,"Discovery, Inc.",NASDAQ,12920000000.0
827,DISH,DISH Network Corporation,NASDAQ,10450000000.0
831,DOCU,"DocuSign, Inc.",NASDAQ,14300000000.0
833,DLTR,"Dollar Tree, Inc.",NASDAQ,17980000000.0
867,EBAY,eBay Inc.,NASDAQ,21960000000.0
890,EA,Electronic Arts Inc.,NASDAQ,25180000000.0
925,EQIX,"Equinix, Inc.",NASDAQ,43280000000.0
927,ERIC,Ericsson,NASDAQ,23030000000.0
928,ERIE,Erie Indemnity Company,NASDAQ,9280000000.0
961,EXC,Exelon Corporation,NASDAQ,30200000000.0
967,EXPD,"Expeditors International of Washington, Inc.",NASDAQ,9330000000.0
978,FB,"Facebook, Inc.",NASDAQ,426800000000.0
987,FAST,Fastenal Company,NASDAQ,16510000000.000002
1000,FITB,Fifth Third Bancorp,NASDAQ,9180000000.0
1139,FISV,"Fiserv, Inc.",NASDAQ,55530000000.0
1168,FTNT,"Fortinet, Inc.",NASDAQ,14650000000.0
1177,FOX,Fox Corporation,NASDAQ,12170000000.0
1178,FOXA,Fox Corporation,NASDAQ,12740000000.0
1210,GLPG,Galapagos NV,NASDAQ,9540000000.0
1216,GRMN,Garmin Ltd.,NASDAQ,12590000000.0
1228,GMAB,Genmab A/S,NASDAQ,12510000000.0
1242,GILD,"Gilead Sciences, Inc.",NASDAQ,92570000000.0
1319,GRFS,"Grifols, S.A.",NASDAQ,12400000000.0
1429,HBANO,Huntington Bancshares Incorporated,NASDAQ,17230000000.0
1437,IAC,IAC/InterActiveCorp,NASDAQ,11080000000.0
1440,IEP,Icahn Enterprises L.P.,NASDAQ,8980000000.0
1453,IDXX,"IDEXX Laboratories, Inc.",NASDAQ,15640000000.0
1460,INFO,IHS Markit Ltd.,NASDAQ,20350000000.0
1463,ILMN,"Illumina, Inc.",NASDAQ,35570000000.0
1480,INCY,Incyte Corporation,NASDAQ,14520000000.0
1510,PODD,Insulet Corporation,NASDAQ,8960000000.0
1517,INTC,Intel Corporation,NASDAQ,196010000000.0
1521,IBKR,"Interactive Brokers Group, Inc.",NASDAQ,15740000000.0
1535,INTU,Intuit Inc.,NASDAQ,52580000000.0
1536,ISRG,"Intuitive Surgical, Inc.",NASDAQ,46020000000.0
1599,QQQ,"Invesco QQQ Trust, Series 1",NASDAQ,72320000000.0
1627,IQ,"iQIYI, Inc.",NASDAQ,12870000000.0
1637,SHY,iShares 1-3 Year Treasury Bond ETF,NASDAQ,22590000000.0
1638,TLT,iShares 20+ Year Treasury Bond ETF,NASDAQ,20310000000.0
1639,IEI,iShares 3-7 Year Treasury Bond ETF,NASDAQ,11450000000.0
1640,IEF,iShares 7-10 Year Treasury Bond ETF,NASDAQ,21180000000.0
1645,IXUS,iShares Core MSCI Total International Stock ETF,NASDAQ,13120000000.0
1676,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,NASDAQ,11240000000.0
1677,MBB,iShares MBS ETF,NASDAQ,21850000000.0
1699,PFF,iShares Preferred and Income Securities ETF,NASDAQ,12420000000.0
1706,DVY,iShares Select Dividend ETF,NASDAQ,11440000000.0
1707,SHV,iShares Short Treasury Bond ETF,NASDAQ,23980000000.0
1708,IGSB,iShares Short-Term Corporate Bond ETF,NASDAQ,12250000000.0
1720,JKHY,"Jack Henry & Associates, Inc.",NASDAQ,10310000000.0
1729,JD,"JD.com, Inc.",NASDAQ,55060000000.0
1769,KLAC,KLA Corporation ,NASDAQ,17880000000.0
1788,LRCX,Lam Research Corporation,NASDAQ,27350000000.0
1823,LBRDA,Liberty Broadband Corporation,NASDAQ,15890000000.0
1824,LBRDK,Liberty Broadband Corporation,NASDAQ,16489999999.999998
